symbol,date,open,high,low,close,volume,daily_return,ma_5,volatility_10,volume_spike,day_of_week,lag_close_1,hl_range,next_day_close,price_up
AAPL,2021-01-15,128.78,130.22,127.0,127.14,111598531.0,-0.012734896723093652,128.944,1.7581205242467814,1.155194489313541,4,128.91,0.02535433070866141,127.83,1
AAPL,2021-01-19,127.78,128.71,126.94,127.83,90757329.0,0.0003912975426514099,128.714,1.8335881641076222,0.9590439593969161,1,127.14,0.013943595399401373,132.03,1
AAPL,2021-01-20,128.66,132.49,128.55,132.03,104319500.0,0.026193066998290104,129.35999999999999,1.9623299643252898,1.0742759717516872,2,127.83,0.030649552703228295,136.87,1
AAPL,2021-01-21,133.8,139.67,133.59,136.87,120529544.0,0.02294469357249621,130.55599999999998,2.8237516415813406,1.1647016192654795,3,132.03,0.04551238865184508,139.07,1
AAPL,2021-01-22,136.28,139.85,135.02,139.07,114459400.0,0.02047255650132075,132.58800000000002,3.9346581102358074,1.0565529162135816,4,136.87,0.03577247815138486,142.92,1
AAPL,2021-01-25,143.07,145.09,136.54,142.92,157611713.0,-0.0010484378276368609,135.744,5.404882977456585,1.3409711683254784,0,139.07,0.06261901274351847,143.16,1
AAPL,2021-01-26,143.6,144.3,141.37,143.16,98390600.0,-0.0030640668523676724,138.81,6.222512532910012,0.8263801623191566,1,142.92,0.02072575511070246,142.06,0
AAPL,2021-01-27,143.43,144.3,140.41,142.06,140843800.0,-0.009551697692254092,140.816,6.456087222321443,1.1145614542879028,2,143.16,0.02770457944590852,137.09,0
AAPL,2021-01-28,139.52,141.99,136.7,137.09,142621128.0,-0.017416857798165184,140.85999999999999,6.304058304862914,1.0904979171815083,3,142.06,0.03869787856620352,131.96,0
AAPL,2021-01-29,135.83,136.74,130.21,131.96,177523812.0,-0.028491496723846016,139.438,6.005319956320208,1.2379778747392542,4,137.09,0.05014975808309654,134.14,1
AAPL,2021-02-01,133.75,135.38,130.93,134.14,106239823.0,0.002915887850467188,137.682,5.211662242829374,0.798052617063851,0,131.96,0.033987626976246764,134.99,1
AAPL,2021-02-02,135.73,136.31,134.61,134.99,83305400.0,-0.005452000294702577,136.048,4.260767927654975,0.6402847870988098,1,134.14,0.012629076591635008,133.94,0
AAPL,2021-02-03,135.76,135.77,133.61,133.94,89880937.0,-0.013406010606953398,134.424,4.0283219555762555,0.7495436070884671,2,134.99,0.01616645460669109,137.39,1
AAPL,2021-02-04,136.3,137.4,134.59,137.39,84183100.0,0.00799706529713848,134.48399999999998,4.020914213348878,0.7778410187429831,3,133.94,0.02087822275057584,136.76,0
AAPL,2021-02-05,137.35,137.42,135.86,136.76,75693830.0,-0.0042955951947579426,135.44400000000002,3.9979646210429443,0.8615217115818603,4,137.39,0.011482408361548459,136.91,1
AAPL,2021-02-08,136.03,136.96,134.92,136.91,71297214.0,0.006469161214437958,135.998,3.5040294265634,0.8816046244637838,0,136.76,0.015120071153276168,136.01,0
AAPL,2021-02-09,136.62,137.88,135.85,136.01,76774213.0,-0.004464939247548043,136.202,2.710847550941312,0.9649140241542897,1,136.91,0.014942951785057057,135.39,0
AAPL,2021-02-10,136.48,136.99,134.4,135.39,73046600.0,-0.007986518171160636,136.492,1.7322227211174854,0.9586294865314975,2,136.01,0.01927083333333336,135.13,0
AAPL,2021-02-11,135.9,136.39,133.77,135.13,64280029.0,-0.00566593083149382,136.04,1.6352152423730064,0.8900785574561484,3,135.39,0.01958585632055002,135.37,1
AAPL,2021-02-12,134.35,135.53,133.69,135.37,60145130.0,0.00759211016002985,135.762,1.1552301358027202,0.8702983076621861,4,135.13,0.013763183484179846,133.19,0
AAPL,2021-02-16,135.49,136.01,132.79,133.19,80576316.0,-0.016975422540408968,135.01799999999997,1.3166860758063528,1.135446091255688,1,135.37,0.024248813916710587,130.84,0
AAPL,2021-02-17,131.25,132.22,129.47,130.84,98085249.0,-0.003123809523809498,133.98399999999998,1.9833364145634655,1.3038627893549788,2,133.19,0.021240441801189464,129.71,0
AAPL,2021-02-18,129.2,130.0,127.41,129.71,96856748.0,0.003947368421052782,132.848,2.6089717003703714,1.2108804716282504,3,130.84,0.020328074719409808,129.87,1
AAPL,2021-02-19,130.24,130.71,128.8,129.87,87668834.0,-0.0028409090909091257,131.796,2.813601093103159,1.0354612530525282,4,129.71,0.014829192546583823,126.0,0
AAPL,2021-02-22,128.01,129.72,125.6,126.0,103916419.0,-0.015701898289196086,129.922,3.5635057644591512,1.112348808315456,0,129.87,0.03280254777070067,125.86,0
AAPL,2021-02-23,123.76,126.71,118.39,125.86,158273022.0,0.016968325791855157,128.45600000000002,3.862592825206109,1.4525784047332486,1,126.0,0.07027620576062162,125.35,0
AAPL,2021-02-24,124.94,125.56,122.23,125.35,111039904.0,0.003281575156074889,127.35800000000002,4.020064814292379,0.9954184053312719,2,125.86,0.02724372085412745,120.99,0
AAPL,2021-02-25,124.68,126.46,120.54,120.99,148199540.0,-0.029595765158806638,125.61399999999999,4.668631610130727,1.2165497864883648,3,125.35,0.04911232785797235,121.26,1
AAPL,2021-02-26,122.59,124.85,121.2,121.26,164560400.0,-0.010849172036870856,123.89200000000001,4.780353775843697,1.1994385597436845,4,120.99,0.030115511551155043,127.79,1
